gene,flag,template,start,mapq,cigar,annotation,length,functionality,causes
TRAJ40*02_F_J-REGION_63nt,16,chr10,22257267,255,63M,TRAJ40,63,F,
TRAJ41*01_F_J-REGION_57nt,16,chr10,22259375,255,57M,TRAJ41,57,F,
TRAJ42*02_F_J-REGION_61nt,16,chr10,22261074,255,61M,TRAJ42,61,F,
TRAJ43*01_F_J-REGION_66nt,16,chr10,22261537,255,66M,TRAJ43,66,F,
TRAJ44*01_F_J-REGION_57nt,16,chr10,22262325,255,57M,TRAJ44,57,F,
TRAJ45*01_F_J-REGION_62nt,16,chr10,22263627,255,62M,TRAJ45,62,F,
TRAJ46*01_F_J-REGION_63nt,16,chr10,22264472,255,63M,TRAJ46,63,F,
TRAJ47*01_F_J-REGION_63nt,16,chr10,22264984,255,63M,TRAJ47,63,F,
TRAJ48*01_F_J-REGION_57nt,16,chr10,22265728,255,57M,TRAJ48,57,F,
TRAJ49*01_F_J-REGION_63nt,16,chr10,22267748,255,63M,TRAJ49,63,F,
TRAJ50*01_F_J-REGION_56nt,16,chr10,22268638,255,56M,TRAJ50,56,F,
TRAJ51*01_F_J-REGION_56nt,16,chr10,22269521,255,56M,TRAJ51,56,F,
TRAJ52*01_F_J-REGION_69nt,16,chr10,22271866,255,69M,TRAJ52,69,F,
TRAJ53*01_F_J-REGION_66nt,16,chr10,22275075,255,66M,TRAJ53,66,F,
TRAJ54*01_F_J-REGION_64nt,16,chr10,22275730,255,64M,TRAJ54,64,F,
TRAJ55*01_F_J-REGION_58nt,16,chr10,22278486,255,58M,TRAJ55,58,F,
TRAJ56*01_F_J-REGION_63nt,16,chr10,22279115,255,63M,TRAJ56,63,F,
TRAJ57*01_F_J-REGION_63nt,16,chr10,22280353,255,63M,TRAJ57,63,F,
TRAJ58*01_F_J-REGION_54nt,16,chr10,22281518,255,54M,TRAJ58,54,F,
TRAJ59*01_F_J-REGION_57nt,16,chr10,22281752,255,57M,TRAJ59,57,F,
TRAJ60*01_P_J-REGION_61nt,16,chr10,22282718,255,61M,TRAJ60,61,P,STOP-CODON in J-REGION
TRDV3*01_F_V-REGION_295nt,0,chr10,22291510,255,295M,TRDV3,295,F,
TRDC*01_F_EX4UTR_900nt,16,chr10,22294191,255,900M,TRDC_EX4UTR,900,F,
TRDC*01_F_EX3_114nt,16,chr10,22296501,255,114M,TRDC_EX3,114,F,
TRDC*01_F_EX2_75nt,16,chr10,22297022,255,75M,TRDC_EX2,75,F,
TRDC*01_F_EX1_279nt,16,chr10,22297686,255,279M,TRDC_EX1,279,F,
TRDJ3*01_F_J-REGION_59nt,16,chr10,22300569,255,59M,TRDJ3,59,F,
TRDJ2*01_ORF_J-REGION_52nt,16,chr10,22302930,255,52M,TRDJ2,52,ORF,"noncanonical J-HEPTAMER, noncanonical J-MOTIF"
TRDJ4*01_F_J-REGION_49nt,16,chr10,22304340,255,49M,TRDJ4,49,F,
TRDJ1*01_F_J-REGION_54nt,16,chr10,22310690,255,54M,TRDJ1,54,F,
TRDD8*01_F_D-REGION_11nt,272,chr10,22311723,255,11M,TRDD9,11,F,
TRDD7*01_F_D-REGION_9nt,272,chr10,22328835,255,9M,TRDD8,9,F,
TRDD6*01_F_D-REGION_13nt,272,chr10,22337284,255,13M,TRDD7,13,F,
TRDD5*01_F_D-REGION_15nt,16,chr10,22356881,1,15M,TRDD6,15,F,
TRDD9*01_ORF_D-REGION_9nt,272,chr10,22367975,255,9M,TRDD5,9,ORF,noncaconical 3'D-RS
TRDD4*01_F_D-REGION_15nt,16,chr10,22375689,36,15M,TRDD4,15,F,
TRDD3*01_ORF_D-REGION_9nt,272,chr10,22385391,255,9M,TRDD3,9,ORF,noncocanical 3'D-RS
TRDD2*01_F_D-REGION_13nt,272,chr10,22393190,255,13M,TRDD2,13,F,
TRDD1*01_ORF_D-REGION_9nt,272,chr10,22405233,255,9M,TRDD1,9,ORF,noncocanical 3'D-RS
TRDV2*01_F_V-REGION_291nt,16,chr10,22422883,255,291M,TRDV2,291,F,
TRDV4*01_ORF_V-REGION_288nt,16,chr10,22449574,255,288M,TRDV4,288,ORF,noncanonical V-NONAMER
TRAV46*01_P_V-REGION_267nt,16,chr10,22456581,255,267M,TRAV46,267,P,"STOP-CODON in V-REGION, noncanonical V-NONAMER"
TRDV5-1*01_F_V-REGION_282nt,272,chr10,22493338,255,282M,TRDV5-2,282,F,
TRDV5-1*01_F_V-REGION_282nt,16,chr10,22527648,12,282M,TRDV5-1,282,F,
TRAV41*01_F_V-REGION_271nt,16,chr10,22559530,255,271M,TRAV41,271,F,
TRAV40*01_P_V-REGION_146nt,16,chr10,22563591,255,146M,TRAV40,146,P,truncated pseudogene
TRAV39-2*01_ORF_V-REGION_277nt,16,chr10,22577287,21,277M,TRAV39-2,277,ORF,"no 1st-CYS, noncanonical V-HEPTAMER"
TRAV38-1*02_F_V-REGION_289nt,272,chr10,22589508,255,289M,TRAV38-8,289,F,
TRAV38-5*01_F_V-REGION_286nt,16,chr10,22597499,34,286M,TRAV38-7,286,F,
TRAV38-1*02_F_V-REGION_289nt,16,chr10,22604679,6,289M,TRAV38-6,289,F,
TRAV37-1*01_P_V-REGION_263nt,272,chr10,22609984,255,263M,TRAV37-3,263,P,STOP-CODON in V-REGION
TRAV36-2*01_F_V-REGION_277nt,16,chr10,22644158,34,277M,TRAV36-3,277,F,
TRAV35-1*01_F_V-REGION_275nt,272,chr10,22651962,255,275M,TRAV35-3,275,F,
TRAV34-2*01_P_V-REGION_275nt,272,chr10,22665478,255,275M,TRAV34-5,275,P,"frameshift in L-PART2, frameshifts in V-REGION"
TRAV33-3*02_F_V-REGION_288nt,16,chr10,22685219,6,288M,TRAV33-6,288,F,
TRAV29-2*01_F_V-REGION_281nt,272,chr10,22688709,255,281M,TRAV29-4,281,F,
TRAV28-1*01_F_V-REGION_271nt,272,chr10,22694999,255,271M,TRAV28-4,271,F,
TRAV33-2*01_P_V-REGION_1174nt,272,chr10,22698704,255,216M3I955M,TRAV33-5,1177,P,STOP CODON IN V-REGION
TRAV34-1*01_P_V-REGION_272nt,16,chr10,22709162,6,272M,TRAV34-4,272,P,"frameshift in L-PART2, frameshifts in V-REGION"
TRAV26*01_P_V-REGION_274nt,16,chr10,22712950,18,274M,TRAV26-2,274,P,"STOP-CODON in V-REGION, no V-NONAMER"
TRAV33-1*01_P_V-REGION_277nt,272,chr10,22732198,255,72M1D10M1D112M1I82M,TRAV33-4,278,P," no INIT-CODON, frameshifts in V-REGION"
TRAV29-1*01_ORF_V-REGION_280nt,16,chr10,22740475,0,280M,TRAV29-3,280,P,"noncanonical V-NONAMER, frameshift in L-PART2"
TRAV28-1*01_F_V-REGION_271nt,16,chr10,22748691,6,271M,TRAV28-3,271,F,
TRAV27*01_P_V-REGION_275nt,272,chr10,22758623,255,9M3D266M,TRAV27-2,275,F,
TRAV44-9*01_F_V-REGION_277nt,16,chr10,22776347,26,277M,TRAV44-29,277,F,
TRAV25-8*01_F_V-REGION_274nt,16,chr10,22783946,12,274M,TRAV25-19,274,F,
TRDV1-15*01_F_V-REGION_293nt,272,chr10,22794441,255,293M,TRDV1-52,293,F,
TRAV22-7*02_F_V-REGION_264nt,16,chr10,22805920,32,264M,TRAV22-26,264,F,
TRAV8-3*01_P_V-REGION_281nt,272,chr10,22806846,255,281M,TRAV8-9,281,P,"STOP CODON IN V-REGION, NO splice site"
TRDV1-14*01_F_V-REGION_296nt,16,chr10,22817535,36,296M,TRDV1-51,296,F,
TRAV44-1*01_F_V-REGION_277nt,272,chr10,22827199,255,277M,TRAV44-28,277,P,STOP CODON IN V-REGION
TRDV1-13*02_F_V-REGION_287nt,16,chr10,22834399,35,287M,TRDV1-50,287,F,
TRAV25-5*01_P_V-REGION_274nt,16,chr10,22846533,36,274M,TRAV25-18,274,P,STOP CODON IN V-REGION
TRAV24-4*01_F_V-REGION_277nt,272,chr10,22857472,255,277M,TRAV24-12,277,ORF,noncanonical DONOR-SPLICE
TRDV1-12*01_F_V-REGION_287nt,16,chr10,22863509,17,287M,TRDV1-49,287,F,
TRAV44-7*01_P_V-REGION_272nt,16,chr10,22875390,12,272M,TRAV44-27,272,P,stop codon in v-region
TRAV23-8*01_P_V-REGION_280nt,272,chr10,22885388,255,280M,TRAV23-18,280,P,no L1
TRAV22-13*01_P_V-REGION_270nt,272,chr10,22886585,255,270M,TRAV22-25,270,P,STOP CODON IN L-PART2
TRAV44-1*01_F_V-REGION_277nt,272,chr10,22889595,255,277M,TRAV44-26,277,F,
TRDV1-18*01_F_V-REGION_286nt,272,chr10,22903699,255,286M,TRDV1-48,286,F,
TRAV25-4*01_F_V-REGION_273nt,16,chr10,22910047,34,273M,TRAV25-17,273,F,
TRAV19-1*01_F_V-REGION_288nt,272,chr10,22919163,255,288M,TRAV19-5,288,F,
TRAV45-9*01_P_V-REGION_284nt,16,chr10,22921342,6,284M,TRAV45-24,284,P,Frameshift in L-PART2
TRAV45-4*01_F_V-REGION_284nt,272,chr10,22937602,255,284M,TRAV45-23,284,F,
TRAV45-14*02_F_V-REGION_284nt,272,chr10,22943678,255,284M,TRAV45-22,284,F,
TRAV45-14*02_F_V-REGION_284nt,272,chr10,22963911,255,284M,TRAV45-21,284,F,
TRAV18-1*01_F_V-REGION_278nt,272,chr10,22968091,255,122M3D30M2I71M1I52M,TRAV18-6,278,P,STOP CODON IN V-REGION
TRAV17-2*01_F_V-REGION_280nt,272,chr10,22979697,255,280M,TRAV17-4,280,F,
TRAV43-1*01_F_V-REGION_271nt,16,chr10,22983908,34,271M,TRAV43-5,271,F,
TRAV8-4*01_P_V-REGION_280nt,16,chr10,22987176,255,280M,TRAV8-8,280,P,STOP CODON IN V-REGION
TRDV1-15*01_F_V-REGION_293nt,272,chr10,22993378,255,293M,TRDV1-47,293,F,
TRAV22-11*01_F_V-REGION_270nt,16,chr10,23005008,21,270M,TRAV22-24,270,F,
TRAV8-3*01_P_V-REGION_281nt,16,chr10,23005947,6,281M,TRAV8-7,281,P,STOP CODON IN V-REGION
TRDV1-22*01_ORF_V-REGION_284nt,16,chr10,23016647,16,284M,TRDV1-46,284,ORF,deletions in V-REGION (imgt)
TRAV44-13*01_P_V-REGION_276nt,16,chr10,23026344,34,276M,TRAV44-25,276,P,STOP CODON IN V-REGION
TRDV1-13*02_F_V-REGION_287nt,272,chr10,23044570,255,202M3D85M,TRDV1-45,290,F,
TRAV25-3D*01_P_V-REGION_274nt,272,chr10,23051638,255,274M,TRAV25-16,274,P,STOP CODON IN V-REGION
TRAV24-2*02_F_V-REGION_277nt,272,chr10,23060162,255,277M,TRAV24-11,277,F,
TRDV1-20*01_P_V-REGION_150nt,16,chr10,23065371,6,150M,TRDV1-44,150,P,deletions in V-region
TRAV44-12*01_P_V-REGION_268nt,16,chr10,23070748,38,268M,TRAV44-24,268,P,STOP CODON IN V-REGION
TRAV23-8*01_P_V-REGION_280nt,16,chr10,23076911,1,280M,TRAV23-17,280,ORF,no heptamer
TRAV22-10*01_ORF_V-REGION_246nt,16,chr10,23078110,27,246M,TRAV22-23,246,P,frameshift in L1
TRAV44-11*01_P_V-REGION_281nt,16,chr10,23084595,34,281M,TRAV44-23,281,P,stop codon in V
TRDV1-19*01_F_V-REGION_287nt,16,chr10,23093494,36,287M,TRDV1-43,287,F,
TRAV25-10*01_P_V-REGION_273nt,16,chr10,23100152,22,273M,TRAV25-15,273,P,stop codon in V
TRAV23-8*01_P_V-REGION_280nt,272,chr10,23102191,255,280M,TRAV23-16,280,ORF,no heptamer
TRAV22-9*01_P_V-REGION_269nt,16,chr10,23103390,34,269M,TRAV22-22,269,P,STOP CODON IN V
TRDV1-18*01_F_V-REGION_286nt,16,chr10,23113654,11,286M,TRDV1-42,286,F,
TRAV25-9*01_P_V-REGION_274nt,16,chr10,23120558,17,274M,TRAV25-14,274,P,"frameshift in L2, stop codon in V"
TRAV44-10*01_F_V-REGION_277nt,16,chr10,23134344,11,277M,TRAV44-22,277,ORF,unexpected V-INTRON length
TRDV1-17*02_ORF_V-REGION_260nt,16,chr10,23146002,255,260M,TRDV1-41,260,ORF,deletion in V (imgt)
TRAV23-7*02_P_V-REGION_276nt,16,chr10,23151199,21,276M,TRAV23-15,276,P,stop codons in V
TRAV22-14*01_F_V-REGION_270nt,272,chr10,23166358,255,270M,TRAV22-21,270,F,
TRAV24-3*01_P_V-REGION_878nt,16,chr10,23171008,255,878M,TRAV24-10,878,P,stop codons in V
TRDV1-16*01_F_V-REGION_293nt,16,chr10,23181889,22,293M,TRDV1-40,293,F,
TRAV23-6*01_P_V-REGION_311nt,16,chr10,23186601,14,210M3D7M1D94M,TRAV23-14,315,P,stop codons in V
TRAV39-1*01_F_V-REGION_274nt,16,chr10,23197178,21,274M,TRAV39-1,274,F,
TRAV38-1*02_F_V-REGION_289nt,272,chr10,23214848,255,289M,TRAV38-5,289,F,
TRAV38-1*02_F_V-REGION_289nt,272,chr10,23222903,255,289M,TRAV38-4,289,F,
TRAV38-1*02_F_V-REGION_289nt,272,chr10,23225777,255,289M,TRAV38-3,289,F,
TRAV37-1*01_P_V-REGION_263nt,272,chr10,23230786,255,263M,TRAV37-2,263,P,stop codon in V
TRAV36-1*01_P_V-REGION_268nt,16,chr10,23267144,6,268M,TRAV36-2,268,P,stop codon in V
TRAV35-1*01_F_V-REGION_275nt,272,chr10,23274945,255,275M,TRAV35-2,275,F,
TRAV34-2*01_P_V-REGION_275nt,16,chr10,23288249,1,275M,TRAV34-3,275,P,stop codon in V
TRAV38-1*02_F_V-REGION_289nt,272,chr10,23303507,255,289M,TRAV38-2,289,F,
TRAV38-1*02_F_V-REGION_289nt,272,chr10,23306384,255,289M,TRAV38-1,289,F,
TRAV37-1*01_P_V-REGION_263nt,272,chr10,23311368,255,263M,TRAV37-1,263,P,stop codon in V
TRAV36-1*01_P_V-REGION_268nt,272,chr10,23347588,255,268M,TRAV36-1,268,P,stop codon in V
TRAV35-1*01_F_V-REGION_275nt,16,chr10,23355389,1,275M,TRAV35-1,275,F,
TRAV34-2*01_P_V-REGION_275nt,272,chr10,23368689,255,275M,TRAV34-2,275,P,"frameshift in L2, stop codon in V"
TRAV33-3*02_F_V-REGION_288nt,272,chr10,23388445,255,288M,TRAV33-3,288,F,
TRAV29-2*01_F_V-REGION_281nt,272,chr10,23391983,255,281M,TRAV29-2,281,F,
TRAV28-1*01_F_V-REGION_271nt,272,chr10,23397959,255,271M,TRAV28-2,271,F,
TRAV33-2*01_P_V-REGION_1174nt,272,chr10,23401672,255,72M2I145M2D775M1D180M,TRAV33-2,1175,P,stop codons in V region
TRAV34-1*01_P_V-REGION_272nt,272,chr10,23409125,255,272M,TRAV34-1,272,P,"framshift in L2, stop codons in V"
TRAV26*02_P_V-REGION_277nt,272,chr10,23412152,255,277M,TRAV26-1,277,P,stop codons in V
TRAV33-1*01_P_V-REGION_277nt,16,chr10,23423549,6,277M,TRAV33-1,277,P,stop codons in V
TRAV29-1*01_ORF_V-REGION_280nt,272,chr10,23431861,255,280M,TRAV29-1,280,F,
TRAV28-1*01_F_V-REGION_271nt,272,chr10,23440084,255,271M,TRAV28-1,271,F,
TRAV27*02_ORF_V-REGION_274nt,272,chr10,23449969,255,274M,TRAV27-1,274,F,
TRAV44-15*01_ORF_V-REGION_277nt,272,chr10,23467659,255,277M,TRAV44-21,277,P,STOP CODON IN V
TRAV25-6*01_P_V-REGION_272nt,16,chr10,23475254,30,272M,TRAV25-13,272,P,stop codons in v
TRDV1-15*01_F_V-REGION_293nt,16,chr10,23485693,6,293M,TRDV1-39,293,F,
TRAV22-7*02_F_V-REGION_264nt,272,chr10,23497406,255,264M,TRAV22-20,264,F,
TRAV8-3*01_P_V-REGION_281nt,272,chr10,23498339,255,265M1I15M,TRAV8-6,280,P,stop codon in V
TRDV1-3*01_F_V-REGION_281nt,272,chr10,23509357,255,281M,TRDV1-38,281,F,
TRAV44-1*01_F_V-REGION_277nt,272,chr10,23535782,255,277M,TRAV44-20,277,F,
TRAV25-2*01_P_V-REGION_273nt,16,chr10,23546769,0,273M,TRAV25-12,273,F,
TRAV24-2*02_F_V-REGION_277nt,272,chr10,23553430,255,277M,TRAV24-9,277,F,
TRDV1-24*01_F_V-REGION_287nt,272,chr10,23559491,255,154M1D133M,TRDV1-37,288,P,stop codon IN V
TRAV44-1*01_F_V-REGION_277nt,272,chr10,23564807,255,277M,TRAV44-19,277,P,frameshift in L1
TRAV23-8D*02_P_V-REGION_280nt,272,chr10,23574791,255,280M,TRAV23-13,280,ORF,no V-heptamer
TRAV22-13*01_P_V-REGION_270nt,272,chr10,23575988,255,270M,TRAV22-19,270,P,stop codon in V
TRAV44-1*01_F_V-REGION_277nt,272,chr10,23578997,255,277M,TRAV44-18,277,P,stop codon in V
TRDV1-18*01_F_V-REGION_286nt,272,chr10,23589219,255,286M,TRDV1-36,286,F,
TRAV25-8*01_F_V-REGION_274nt,272,chr10,23595487,255,274M,TRAV25-11,274,F,
TRAV44-10*01_F_V-REGION_277nt,272,chr10,23602164,255,277M,TRAV44-17,277,ORF,unexpected V-INTRON length
TRDV1-17*01_ORF_V-REGION_293nt,16,chr10,23613489,34,293M,TRDV1-35,293,ORF,insertions and deletions in V-REGION
TRAV23-7*01_P_V-REGION_275nt,272,chr10,23618663,255,103M4I1M2I165M,TRAV23-12,269,P,stop codons in V
TRAV22-14*01_F_V-REGION_270nt,272,chr10,23627236,255,270M,TRAV22-18,270,F,
TRAV24-5*01_P_V-REGION_268nt,16,chr10,23632551,30,268M,TRAV24-8,268,P,stop codons in V
TRDV1-16*01_F_V-REGION_293nt,272,chr10,23645007,255,293M,TRDV1-34,293,P,stop codons in V
TRAV23-12*01_P_V-REGION_295nt,272,chr10,23649729,255,194M3I98M,TRAV23-11,292,P,"stop codons in V, frameshift in L2"
TRAV22-2*01_F_V-REGION_270nt,272,chr10,23655118,255,270M,TRAV22-17,270,F,
TRAV24-1*01_P_V-REGION_277nt,272,chr10,23659738,255,277M,TRAV24-7,277,P,STOP CODON IN V
TRDV1-2*01_F_V-REGION_293nt,272,chr10,23665391,255,4M5I284M,TRDV1-33,293,F,
TRAV22-13*01_P_V-REGION_270nt,272,chr10,23670932,255,270M,TRAV22-16,270,F,
TRAV44-1*01_F_V-REGION_277nt,272,chr10,23673990,255,277M,TRAV44-16,277,F,
TRAV25-4*01_F_V-REGION_273nt,272,chr10,23684352,255,80M1D2M1I190M,TRAV25-10,273,F,
TRDV1-33*01_F_V-REGION_293nt,272,chr10,23696488,255,293M,TRDV1-32,293,F,
TRAV23-1*01_F_V-REGION_280nt,272,chr10,23703010,255,280M,TRAV23-10,280,F,
TRAV22-1*01_F_V-REGION_270nt,272,chr10,23710418,255,270M,TRAV22-15,270,P,stop codon in V
TRAV8-1*01_F_V-REGION_284nt,272,chr10,23714839,255,284M,TRAV8-5,284,F,
TRAV21-4*01_F_V-REGION_279nt,272,chr10,23718344,255,279M,TRAV21-2,279,F,
TRAV20-1*01_F_V-REGION_268nt,272,chr10,23726375,255,268M,TRAV20-3,268,F,
TRAV19-1*01_F_V-REGION_288nt,272,chr10,23734633,255,288M,TRAV19-4,288,F,
TRAV45-14*02_F_V-REGION_284nt,272,chr10,23736808,255,284M,TRAV45-20,284,F,
TRAV45-14*02_F_V-REGION_284nt,272,chr10,23753248,255,284M,TRAV45-19,284,F,
TRAV45-15*01_F_V-REGION_284nt,272,chr10,23758594,255,284M,TRAV45-18,284,F,
TRAV45-3*01_F_V-REGION_284nt,16,chr10,23764283,6,284M,TRAV45-17,284,F,
TRAV18-3*01_P_V-REGION_277nt,16,chr10,23768818,30,277M,TRAV18-5,277,F,
TRAV17-2*01_F_V-REGION_280nt,16,chr10,23780105,12,280M,TRAV17-3,280,F,
TRAV16*01_F_V-REGION_272nt,272,chr10,23787107,255,272M,TRAV16-2,272,F,
TRAV12-1*01_F_V-REGION_277nt,272,chr10,23799815,255,277M,TRAV12-6,277,F,
TRAV11-1*01_P_V-REGION_279nt,272,chr10,23811272,255,279M,TRAV11-6,279,P,no init codon
TRAV10-3*01_ORF_V-REGION_280nt,272,chr10,23812784,255,280M,TRAV10-6,280,ORF,no V-HEPTAMER
TRAV9-2*01_P_V-REGION_280nt,272,chr10,23820460,255,100M1D180M,TRAV9-13,281,P,stop codon in V
TRAV14-1*01_F_V-REGION_290nt,272,chr10,23829998,255,290M,TRAV14-9,290,P,STOP CODON IN V
TRAV13-3*02_P_V-REGION_278nt,272,chr10,23833729,255,223M2D55M,TRAV13-9,280,F,
TRAV43-1*01_F_V-REGION_271nt,272,chr10,23838138,255,271M,TRAV43-4,271,F,
TRAV9-3*01_F_V-REGION_281nt,272,chr10,23843286,255,281M,TRAV9-12,281,F,
TRAV14-4*01_ORF_V-REGION_290nt,272,chr10,23862210,255,238M4I48M,TRAV14-8,286,P,STOP CODONS IN V
TRAV13-4*01_F_V-REGION_277nt,272,chr10,23867485,255,277M,TRAV13-8,277,F,
TRAV9-1*01_F_V-REGION_281nt,272,chr10,23871876,255,281M,TRAV9-11,281,F,
TRAV5*01_F_V-REGION_280nt,272,chr10,23915830,255,280M,TRAV5-3,280,F,
TRAV4*01_P_V-REGION_277nt,272,chr10,23926976,255,277M,TRAV4-3,277,P,NO L-PART1
TRDV1-15*01_F_V-REGION_293nt,272,chr10,23935762,255,293M,TRDV1-31,293,F,
TRAV22-11*01_F_V-REGION_270nt,272,chr10,23947556,255,270M,TRAV22-14,270,P,STOP CODON IN V
TRAV8-3*01_P_V-REGION_281nt,272,chr10,23948494,255,220M1I60M,TRAV8-4,280,P,"no ACCEPTOR-SPLICE, frameshifts in V-REGION"
TRDV1-3*01_F_V-REGION_281nt,272,chr10,23959612,255,188M6D93M,TRDV1-30,287,F,
TRAV44-1*01_F_V-REGION_277nt,272,chr10,23969513,255,277M,TRAV44-15,277,F,
TRDV1-13*02_F_V-REGION_287nt,272,chr10,23976266,255,287M,TRDV1-29,287,F,
TRAV25-12*02_P_V-REGION_273nt,272,chr10,23982388,255,102M3I3M1I164M,TRAV25-9,269,P,STOP CODON IN V
TRAV24-1*01_P_V-REGION_277nt,272,chr10,23988754,255,277M,TRAV24-6,277,P,STOP CODON IN V
TRDV1-24*01_F_V-REGION_287nt,272,chr10,23994595,255,287M,TRDV1-28,287,F,
TRAV44-14*01_P_V-REGION_276nt,16,chr10,23999990,21,276M,TRAV44-14,276,P,STOP CODONS IN V
TRDV1-25*01_F_V-REGION_287nt,16,chr10,24007448,255,287M,TRDV1-27,287,F,
TRAV44-1*01_F_V-REGION_277nt,272,chr10,24017952,255,277M,TRAV44-13,277,ORF,noncanonical V-HEPTAMER; noncanonical V-NONAMER
TRAV23-5*01_P_V-REGION_279nt,272,chr10,24027912,255,95M1I183M,TRAV23-9,278,P,STOP-CODON in V-REGION
TRAV22-16*01_F_V-REGION_270nt,272,chr10,24029107,255,270M,TRAV22-13,270,F,
TRAV44-1*01_F_V-REGION_277nt,272,chr10,24032116,255,277M,TRAV44-12,277,F,
TRDV1-18*01_F_V-REGION_286nt,272,chr10,24042117,255,286M,TRDV1-26,287,F,
TRAV25-4*01_F_V-REGION_273nt,272,chr10,24048545,255,273M,TRAV25-8,273,P,STOP-CODON in V-REGION; frameshift in L-PART1
TRAV24-1*01_P_V-REGION_277nt,272,chr10,24052594,255,277M,TRAV24-5,277,P,frameshift in L-PART1
